ITEM NO.,UNITS,LS UNITS,DESCRIPTION
657-5031,EA,,"PREFORMED PLASTIC PVMT MKG, WORDS AND/OR SYM, ARROW TP 11, WHITE, TP PB"
657-5032,EA,,"PREFORMED PLASTIC PVMT MKG, WORDS AND/OR SYM, ARROW TP 12 WHITE, TP PB"
657-5050,EA,,"PREFORMED PLASTIC PVMT MKG, WORDS AND/OR SYM, ARROW TP 21, WHITE, TP PB"
657-5055,EA,,"PREFORMED PLASTIC PVMT MKG, WORDS AND/OR SYM, ARROW TP 22, WHITE, TP PB"
657-5060,EA,,"PREFORMED PLASTIC PVMT MKG, WORDS AND/OR SYM, ARROW TP 23, WHITE, TP PB"
657-5065,EA,,"PREFORMED PLASTIC PVMT MKG, WORDS AND/OR SYM, ARROW TP 24, WHITE, TP PB"
657-5120,EA,,"PREFORMED PLASTIC PVMT MKG, WORDS AND/OR SYM, ARROW TP 5, WHITE, TP PB"
657-5515,EA,,"PREFORMED PLASTIC PVMT MKG, ARROW, CONTRAST (BLACK-WHITE),  TP 1A"
657-5525,EA,,"PREFORMED PLASTIC PVMT MKG, ARROW, CONTRAST (BLACK-WHITE),  TP 2A"
657-5535,EA,,"PREFORMED PLASTIC PVMT MKG, ARROW, CONTRAST (BLACK-WHITE),  TP 3A"
657-5537,EA,,"PREFORMED PLASTIC PVMT MKG, ARROW, CONTRAST (BLACK-WHITE),  TP 3B"
657-5555,EA,,"PREFORMED PLASTIC PVMT MKG, ARROW, CONTRAST (BLACK-WHITE),  TP 5A"
657-5557,EA,,"PREFORMED PLASTIC PVMT MKG, ARROW, CONTRAST (BLACK-WHITE),  TP 5B"
657-5565,EA,,"PREFORMED PLASTIC PVMT MKG, ARROW, CONTRAST (BLACK-WHITE),  TP 6A"
657-5575,EA,,"PREFORMED PLASTIC PVMT MKG, ARROW, CONTRAST (BLACK-WHITE),  TP 7A"
657-6041,LF,,"PREFORMED PLASTIC SOLID PVMT MKG, 4 IN, YELLOW, TP TR"
657-6054,LF,,"PREFORMED PLASTIC SOLID PVMT MKG, 5 IN, YELLOW, TP PB"
657-6080,EA,,"PREFORMED PLASTIC PVMT MKG ARROW, TP 8"
657-6085,LF,,"PREFORMED PLASTIC SOLID PVMT MKG, 8 IN, CONTRAST (BLACK-YELLOW), TP PB"
657-6086,LF,,"PREFORMED PLASTIC DOUBLE SOLID PVMT MKG, 8 IN, CONTRAST (BLACK-YELLOW), TP PB"
657-7054,LM,,"PREFORMED PLASTIC SOLID PVMT MKG, 5 IN, YELLOW, TP PB"
657-7055,LM,,"PREFORMED PLASTIC SOLID PVMT MKG, 5 IN, YELLOW, TP TR"
657-7085,LM,,"PREFORMED PLASTIC SOLID PVMT MKG, 8 IN, CONTRAST (BLACK-YELLOW), TP PB"
657-8045,GLF,,"PREFORMED PLASTIC SKIP PVMT MKG 5 IN., YELLOW TP PB"
657-8046,GLM,,"PREFORMED PLASTIC SKIP PVMT MKG 5 IN., YELLOW TP PB"
657-8049,GLM,,"PREFORMED PLASTIC SKIP PVMT MKG 5 IN., BLACK, TP PB"
657-8050,GLF,,"PREFORMED PLASTIC SKIP PVMT MKG 5 IN., BLACK, TP PB"
657-8060,GLF,,"PREFORMED PLASTIC SKIP PVMT MKG, 10 IN, BLACK, TP PB"
657-8095,GLF,,"PREFORMED PLASTIC SKIP PAVEMENT MARKING, 13 IN, CONTRAST (BLACK-WHITE), TP PB"
657-8097,GLF,,"PREFORMED PLASTIC SKIP PVMT MKG, 18 IN, WHITE, TPPB"
657-8150,GLF,,"PREFORMED PLASTIC SKIP PAVEMENT MARKING, 24 IN, CONTRAST (BLACK-WHITE), TP PB"
657-9054,GLM,,"PREFORMED PLASTIC SKIP PVMT MKG, 5 IN, YELLOW, TP PB"
657-9110,LF,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 5 INCH  WIDE, WHITE"
657-9111,LF,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 5 INCH WIDE, YELLOW"
657-9122,LF,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 10 INCH WIDE, WHITE"
657-9123,LF,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 10 INCH, CONTRAST (BLACK-WHITE)"
657-9124,LM,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 10 INCH, CONTRAST (BLACK-WHITE)"
657-9150,LF,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 8 INCH WIDE, WHITE"
657-9180,GLF,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 8 IN WIDE, WHITE"
657-9210,LM,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 5 INCH WIDE, WHITE"
657-9211,LM,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 5 INCH WIDE, YELLOW"
657-9212,LF,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 6 IN, WHITE"
657-9213,LM,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 6 IN, WHITE"
657-9214,LF,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 6 IN, YELLOW"
657-9215,LF,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 8 IN, CONTRAST (BLACK- WHITE), TP TR"
657-9216,LM,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 6 IN, YELLOW"
657-9230,LM,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 8 IN, CONTRAST (BLACK-WHITE)"
657-9235,LM,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 8 IN, CONTRAST (BLACK-YELLOW)"
657-9243,LF,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 9 IN, CONTRAST (BLACK-YELLOW)"
657-9244,LM,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 9 IN, CONTRAST (BLACK-YELLOW)"
657-9245,LF,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 9 IN, CONTRAST (BLACK-WHITE)"
657-9246,LM,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 9 IN, CONTRAST (BLACK-WHITE)"
657-9247,LF,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 9 IN, WHITE"
657-9248,LM,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 9 IN, WHITE"
657-9250,LF,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 11 IN, WHITE"
657-9251,LM,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 11 IN, WHITE"
657-9252,LF,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 12 IN, CONTRAST (BLACK-WHITE)"
657-9253,LM,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 12 IN, CONTRAST (BLACK-WHITE)"
657-9254,LF,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 14 IN, CONTRAST (BLACK-WHITE)"
657-9255,LM,,"WET REFLECTIVE PREFORMED SOLID PAVEMENT MARKINGS, 14 IN, CONTRAST (BLACK-WHITE)"
657-9310,GLF,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 5 INCH WIDE, WHITE"
657-9313,GLF,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 5 INCH WIDE, BLACK"
657-9315,GLF,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 8 INCH, CONTRAST (BLACK-WHITE), TP TR"
657-9316,GLF,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 6 INCH WIDE, WHITE"
657-9317,GLM,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 6 INCH WIDE, WHITE"
657-9318,GLF,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 6 INCH WIDE, YELLOW"
657-9319,GLM,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 6 INCH WIDE, YELLOW"
657-9320,GLF,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 6 INCH WIDE, BLACK"
657-9321,GLM,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 6 INCH WIDE, BLACK"
657-9325,GLM,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 10 IN, YELLOW"
657-9330,GLF,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 9 INCH WIDE, WHITE"
657-9331,GLM,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 9 INCH WIDE, WHITE"
657-9332,GLF,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 9 INCH WIDE, BLACK"
657-9333,GLM,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 9 INCH WIDE, BLACK"
657-9334,GLF,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 9 INCH WIDE, YELLOW"
657-9335,GLM,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 9 INCH WIDE, YELLOW"
657-9338,GLF,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 11 INCH WIDE, WHITE"
657-9339,GLM,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 11 INCH WIDE, WHITE"
657-9340,GLF,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 11 INCH WIDE, BLACK"
657-9341,GLM,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 11 INCH WIDE, BLACK"
657-9410,GLM,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 5 INCH WIDE, WHITE"
657-9413,GLM,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 5 INCH WIDE, BLACK"
657-9415,GLM,,"WET REFLECTIVE PREFORMED SKIP PAVEMENT MARKINGS, 8 INCH, CONTRAST (BLACK-WHITE), TP TR"
657-9430,GLM,,"WET REFLECTIVE PREFORMED SKIP PVMT MARKING,8 IN, CONTRAST (BLACK-WHITE)"
657-9432,GLF,,"WET REFLECTIVE PREFORMED SKIP PVMT MARKING,9 IN, CONTRAST (BLACK-WHITE)"
657-9433,GLM,,"WET REFLECTIVE PREFORMED SKIP PVMT MARKING,9 IN, CONTRAST (BLACK-WHITE)"
657-9435,GLF,,"WET REFLECTIVE PREFORMED SKIP PVMT MARKING, 10 IN, WHITE, TP PB-WR"
657-9437,GLF,,"WET REFLECTIVE PREFORMED SKIP PVMT MARKING, 10 IN, BLACK, TP PB-WR"
657-9440,GLM,,"WET REFLECTIVE PREFORMED SKIP PVMT MARKING, 9.5 IN, CONTRAST (BLACK-WHITE), TP PB-WR"
657-9445,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, 8 IN, WHITE, TP PB-WR"
657-9447,GLM,,"WET REFLECTIVE PREFORMED PLASTIC SKIP PVMT MKG, 8 IN, WHITE, TP PB-WR"
657-9449,GLM,,"WET REFLECTIVE PREFORMED PLASTIC SKIP PVMT MKG, 8 IN, BLACK, TP PB-WR"
657-9455,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, 10 IN, WHITE, TP PB-WR"
657-9510,SY,* * * Requires Special Provision * * *,"WET REFLECTIVE PREFORMED PAVEMENT MARKINGS, WHITE"
657-9512,SY,,"WET REFLECTIVE PREFORMED PAVEMENT MARKINGS, YELLOW"
657-9515,EA,* * * Requires Special Provision * * *,"WET REFLECTIVE PREFORMED PAVEMENT MARKINGS, WORDS OR SYMBOLS"
657-9520,LF,* * * Requires Special Provision * * *,"WET REFLECTIVE PREFORMED PAVEMENT MARKINGS, 18 INCH, WHITE"
657-9530,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, ARROW TP 1, WHITE, TP PB-WR"
657-9535,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG,  ARROW TP 2, WHITE, TP PB-WR"
657-9540,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, ARROW TP 3, WHITE, TP PB WR"
657-9545,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, ARROW TP 4, WHITE, TP PB-WR"
657-9550,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, ARROW TP 5, WHITE, TP PB-WR"
657-9555,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, ARROW TP 6, WHITE, TP PB-WR"
657-9560,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, ARROW TP , WHITE, TP PB-WR"
657-9565,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, ARROW, TP 8, WHITE, TP PB-WR"
657-9570,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, WORDS, TP 1, WHITE, TP PB-WR"
657-9575,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, WORDS, TP 2, TP PB-WR"
657-9580,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, WORDS, TP 3A, TP PB-WR"
657-9585,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, WORDS, TP 3B, WHITE, TP PB-WR"
657-9590,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, WORD, TP 4, WHITE, TP PB-WR"
657-9595,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, WORD, TP 5, WHITE, TP PB-WR"
657-9600,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, WORD, TP 6, WHITE, TP PB-WR"
657-9607,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, WORD, TP 7, WHITE, TP PB-WR"
657-9610,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, WORD, TP 10, WHITE, TP PB-WR"
657-9615,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, WORD, TP 11, WHITE, TP PB-WR"
657-9620,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, WORD, TP 12, WHITE, TP PB-WR"
657-9625,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, WORD, TP 13, WHITE, TP PB-WR"
657-9630,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, WORD, TP 15, WHITE, TP PB-WR"
657-9635,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, WORD, TP 16, WHITE, TP PB-WR"
657-9640,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, WORD, TP 17, WHITE, TP PB-WR"
657-9645,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, WORD, TP 20, WHITE, TP PB-WR"
657-9650,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, WORD, TP 21, WHITE, TP PB-WR"
657-9655,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, WORD, TP 22, WHITE, TP PB-WR"
657-9675,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, SYMBOL, TP 1, WHITE, TP PB-WR"
657-9695,EA,,"WET REFLECTIVE PREFORMED PLASTIC PVMT MKG, SYMBOL, TP 5, WHITE, TP PB-WR"
658-1000,LM,* * * Requires Special Provision * * *,"SOLID POLYUREA TRAFFIC STRIPE, 5 IN, WHITE"
658-1001,LM,* * * Requires Special Provision * * *,"SOLID POLYUREA TRAF STRIPE, 5IN, YELLOW"
658-1005,LM,* * * Requires Special Provision * * *,"SOLID POLYUREA TRAFFIC STRIPE, 8 IN, WHITE"
658-1010,LM,* * * Requires Special Provision * * *,"SOLID POLYUREA TRAFFIC STRIPE, 10 IN, WHITE"
658-1060,LF,* * * Requires Special Provision * * *,"SOLID POLYUREA TRAF STRIPE, 6 IN, WHITE"
658-1061,LM,* * * Requires Special Provision * * *,"SOLID POLYUREA TRAF STRIPE, 6 IN, WHITE"
658-1062,LF,* * * Requires Special Provision * * *,"SOLID POLYUREA TRAF STRIPE, 6 IN, YELLOW"
658-1063,LM,* * * Requires Special Provision * * *,"SOLID POLYUREA TRAF STRIPE, 6 IN, YELLOW"
658-1100,GLM,* * * Requires Special Provision * * *,"SKIP POLYUREA TRAFFIC STRIPE, 5 IN, WHITE"
658-1101,GLM,* * * Requires Special Provision * * *,"SKIP POLYUREA TRAFFIC STRIPE, 5 IN, YELLOW"
658-1103,GLM,* * * Requires Special Provision * * *,"SKIP POLYUREA TRAFFIC STRIPE, 8 IN, WHITE"
658-1105,GLM,* * * Requires Special Provision * * *,"SOLID POLYUREA TRAFFIC STRIPE, 8 IN, WHITE"
658-1160,GLF,* * * Requires Special Provision * * *,"SKIP POLYUREA TRAFFIC STRIPE, 6 IN, WHITE"
658-1161,GLM,* * * Requires Special Provision * * *,"SKIP POLYUREA TRAFFIC STRIPE, 6 IN, WHITE"
658-1162,GLF,* * * Requires Special Provision * * *,"SKIP POLYUREA TRAFFIC STRIPE, 6 IN, BLACK"
658-1163,GLM,* * * Requires Special Provision * * *,"SKIP POLYUREA TRAFFIC STRIPE, 6 IN, BLACK"
658-1164,GLF,* * * Requires Special Provision * * *,"SKIP POLYUREA TRAFFIC STRIPE, 6 IN, YELLOW"
658-1165,GLM,* * * Requires Special Provision * * *,"SKIP POLYUREA TRAFFIC STRIPE, 6 IN, YELLOW"
658-1200,LF,* * * Requires Special Provision * * *,"SOLID POLYUREA TRAFFIC STRIPE, 5 IN, WHITE"
658-1201,LF,* * * Requires Special Provision * * *,"SOLID POLYUREA TRAFFIC STRIPE, 5 IN, YELLOW"
658-1210,LF,* * * Requires Special Provision * * *,"SOLID POLYUREA TRAFFIC STRIPE, 10 IN, WHITE"
658-1300,GLF,* * * Requires Special Provision * * *,"SKIP POLYUREA TRAFFIC STRIPE, 5 IN, WHITE"
658-1301,GLF,* * * Requires Special Provision * * *,"SKIP POLYUREA TRAFFIC STRIPE, 5 IN, YELLOW"
658-1310,GLF,* * * Requires Special Provision * * *,"SKIP POLYUREA TRAFFIC STRIPE, 10 IN, WHITE"
658-1350,EA,* * * Requires Special Provision * * *,"POLYUREA PAVEMENT MARKINGS, WORDS, & SYMBOLS, WHITE"
658-1355,EA,* * * Requires Special Provision * * *,"POLYUREA PAVEMENT MARKINGS, WORDS, & SYMBOLS, YELLOW"
658-1365,SY,* * * Requires Special Provision * * *,"POLYUREA TRAFFIC STRIPE, 8 IN, WHITE"
658-1380,SY,* * * Requires Special Provision * * *,"POLYUREA TRAF STRIPE, 8 IN, YELLOW"
658-1400,LF,* * * Requires Special Provision * * *,"SOLID POLYUREA TRAFFIC STRIPE, 24 IN, WHITE"
659-1041,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 4 IN, WHITE, TP TR"
659-1042,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 4 IN, WHITE, TP TN"
659-1043,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 4 IN, WHITE, TP P"
659-1081,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 8 IN, WHITE, TP TR"
659-1082,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 8 IN, WHITE, TP TN"
659-1083,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 8 IN, WHITE, TP P"
659-1121,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 12 IN, WHITE, TP TR"
659-1122,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 12 IN, WHITE, TP TN"
659-1123,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 12 IN, WHITE, TP P"
659-1181,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 18 IN, WHITE, TP TR"
659-1182,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 18 IN, WHITE, TP TN"
659-1183,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 18 IN, WHITE, TP P"
659-1241,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 24 IN, WHITE, TP TR"
659-1242,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 24 IN, WHITE, TP TN"
659-1243,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 24 IN, WHITE, TP P"
659-2041,LM,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 4 IN, WHITE, TP TR"
659-2042,LM,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 4 IN, WHITE, TP TN"
659-2043,LM,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 4 IN, WHITE, TP P"
659-2061,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 6 IN, WHITE"
659-2062,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 6 IN, YELLOW"
659-2081,LM,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 8 IN, WHITE, TP TR"
659-2082,LM,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 8 IN, WHITE, TP TN"
659-2083,LM,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 8 IN, WHITE TP P"
659-2121,LM,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 12 IN, WHITE, TP TR"
659-2122,LM,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 12 IN, WHITE, TP TN"
659-2123,LM,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 12 IN, WHITE, TP P"
659-2181,LM,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 18 IN, WHITE, TP TR"
659-2182,LM,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 18 IN, WHITE, TP TN"
659-2183,LM,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 18 IN, WHITE, TP P"
659-2241,LM,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 24 IN, WHITE, TP TR"
659-2242,LM,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 24 IN, WHITE, TP TN"
659-2243,LM,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 24 IN, WHITE, TP P"
659-3041,GLF,,"HOT APPLIED PREFORMED PLASTIC SKIP PVMT MKG, 4 IN, WHITE, TP TR"
659-3042,GLF,,"HOT APPLIED PREFORMED PLASTIC SKIP PVMT MKG, 4 IN, WHITE, TP TN"
659-3043,GLF,,"HOT APPLIED PREFORMED PLASTIC SKIP PVMT MKG, 4 IN, WHITE, TP P"
659-3061,GLF,,"HOT APPLIED PREFORMED PLASTIC SKIP PVMT MKG, 6 IN, WHITE"
659-3062,GLF,,"HOT APPLIED PREFORMED PLASTIC SKIP PVMT MKG, 6 IN, YELLOW"
659-3081,GLF,,"HOT APPLIED PREFORMED PLASTIC SKIP PVMT MKG, 8 IN, WHITE, TP TR"
659-3082,GLF,,"HOT APPLIED PREFORMED PLASTIC SKIP PVMT MKG, 8 IN, WHITE, TP TN"
659-3083,GLF,,"HOT APPLIED PREFORMED PLASTIC SKIP PVMT MKG, 8 IN, WHITE, TP P"
659-4041,GLM,,"HOT APPLIED PREFORMED PLASTIC SKIP PVMT MKG, 4 IN, WHITE, TP TR"
659-4042,GLM,,"HOT APPLIED PREFORMED PLASTIC SKIP PVMT MKG, 4 IN, WHITE, TP TN"
659-4043,GLM,,"HOT APPLIED PREFORMED PLASTIC SKIP PVMT MKG, 4 IN, WHITE, TP P"
659-4081,GLM,,"HOT APPLIED PREFORMED PLASTIC SKIP PVMT MKG, 8 IN, WHITE, TP TR"
659-4082,GLM,,"HOT APPLIED PREFORMED PLASTIC SKIP PVMT MKG, 8 IN, WHITE, TP TN"
659-4083,GLM,,"HOT APPLIED PREFORMED PLASTIC SKIP PVMT MKG, 8 IN, WHITE, TP P"
659-5000,SY,,HOT APPLIED PREFORMED PLASTIC PVMT MARKINGS
659-5011,EA,,"HOT APPLIED PREFORMED PLASTIC PVMT MKG, WORDS AND/OR SYMBOLS, WHITE, TP TR"
659-5012,EA,,"HOT APPLIED PREFORMED PLASTIC PVMT MKG, WORDS AND/OR SYMBOLS, WHITE, TP TN"
659-5013,EA,,"HOT APPLIED PREFORMED PLASTIC PVMT MKG, WORDS AND/OR SYMBOLS, WHITE, TP P"
659-5021,EA,,"HOT APPLIED PREFORMED PLASTIC PVMT MKG, WORDS AND/OR SYMBOLS, YELLOW, TP TR"
659-5022,EA,,"HOT APPLIED PREFORMED PLASTIC PVMT MKG, WORDS AND/OR SYMBOLS, YELLOW, TP TN"
659-5023,EA,,"HOT APPLIED PREFORMED PLASTIC PVMT MKG, WORDS AND/OR SYMBOLS, YELLOW, TP P"
659-6041,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 4 IN, YELLOW, TP TR"
659-6042,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 4 IN, YELLOW, TP TN"
659-6043,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 4 IN, YELLOW, TP P"
659-6081,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 8 IN, YELLOW, TP TR"
659-6082,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 8 IN, YELLOW, TP TN"
659-6083,LF,,"HOT APPLIED PREFORMED PLASTIC SOLID PVMT MKG, 8 IN, YELLOW, TP P"
659-7005,EA,,"HOT APPLIED PREFORMED PLASTIC PVMT MKG, BIKE LANE MARKING, TP TR"
659-7010,EA,,"HOT APPLIED PREFORMED PLASTIC PVMT MKG, BIKE LANE MARKING, TP TN"
659-7015,EA,,"HOT APPLIED PREFORMED PLASTIC PVMT MKG, BIKE LANE MARKING, TP P"
659-7020,EA,,"HOT APPLIED PREFORMED PLASTIC PVMT MKG, COLORIZED BIKE LANE, TP TR"
659-7025,EA,,"HOT APPLIED PREFORMED PLASTIC PVMT MKG, COLORIZED BIKE LANE, TP TN"
659-7030,EA,,"HOT APPLIED PREFORMED PLASTIC PVMT MKG, COLORIZED BIKE LANE, TP P"
659-7035,EA,,"HOT APPLIED PRFORMED PLASTIC PAVEMENT MARKING, BIKE SHARED LANE SYMBOL"
660-0002,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 2 IN, PVC"
660-0004,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 4 IN, PVC"
660-0006,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 6 IN, PVC"
660-0008,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 8 IN, PVC"
660-0010,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 10 IN, PVC"
660-0012,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 12 IN, PVC"
660-0015,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 15 IN, PVC"
660-0018,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 18 IN, PVC"
660-0024,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 24 IN, PVC"
660-0036,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 36 IN, PVC"
660-0312,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 12 IN, CONCRETE"
660-0315,LF,* * * Requires Special Provision * * *,"SAN SEWER PIPE, 15 IN, CONCRETE"
